TREE_ID,NODE_ID,CK_EXIT_FUNC,MP_CONST,PARENT_ID,_tree_id,NODE_TYPE,TREE_TYPE,MP_SC_FLD,TECH_NAME,MP_SC_TAB,MP_EXIT_FUNC
/CITI/XML/UNESCO/DC_V3_01     ,N_0199403110,,                                                                                                                                    ,N_4426683110,/CITI/XML/UNESCO/DC_V3_01,ELEM,PAYM,LALA04                        ,AddtlInf                                          ,FPAYHX                        ,                              
/CITI/XML/UNESCO/DC_V3_01     ,N_0243485950,,TXID                                                                                                                                ,N_7259479710,/CITI/XML/UNESCO/DC_V3_01,ELEM,PAYM,                              ,Cd                                                ,                              ,                              
/CITI/XML/UNESCO/DC_V3_01     ,N_0249673900,,                                                                                                                                    ,N_2368849090,/CITI/XML/UNESCO/DC_V3_01,ELEM,PAYM,                              ,PstCd                                             ,                              ,                              
/CITI/XML/UNESCO/DC_V3_01     ,N_0278624600,,                                                                                                                                    ,N_2371588520,/CITI/XML/UNESCO/DC_V3_01,ATOM,PAYM,INSTEXT2                      ,INSTEXT                                           ,FPAYHX                        ,                              
/CITI/XML/UNESCO/DC_V3_01     ,N_0280208270,,                                                                                                                                    ,N_1020032620,/CITI/XML/UNESCO/DC_V3_01,ELEM,PAYM,                              ,FinInstnId                                        ,                              ,                              
/CITI/XML/UNESCO/DC_V3_01     ,N_0283369560,,-                                                                                                                                   ,N_7464703350,/CITI/XML/UNESCO/DC_V3_01,ATOM,PAYM,                              ,-                                                 ,                              ,                              
/CITI/XML/UNESCO/DC_V3_01     ,N_0293335810,,                                                                                                                                    ,N_9277578250,/CITI/XML/UNESCO/DC_V3_01,ELEM,PAYM,                              ,Tp                                                ,                              ,                              
/CITI/XML/UNESCO/DC_V3_01     ,N_0296857560,,                                                                                                                                    ,N_0825400770,/CITI/XML/UNESCO/DC_V3_01,ELEM,PAYM,LALA07                        ,AddtlInf                                          ,FPAYHX                        ,                              
/CITI/XML/UNESCO/DC_V3_01     ,N_0363628200,,                                                                                                                                    ,N_3320312680,/CITI/XML/UNESCO/DC_V3_01,ELEM,PAYM,INSCODE1                      ,Cd                                                ,FPAYHX                        ,                              
/CITI/XML/UNESCO/DC_V3_01     ,N_0374883190,,                                                                                                                                    ,N_2285261360,/CITI/XML/UNESCO/DC_V3_01,ELEM,PAYM,LCLINSTRM_CD                  ,Cd                                                ,FPAYHX                        ,                              
/CITI/XML/UNESCO/DC_V3_01     ,N_0396318870,,                                                                                                                                    ,N_6140636800,/CITI/XML/UNESCO/DC_V3_01,ELEM,PAYM,                              ,RgltryRptg                                        ,                              ,                              
/CITI/XML/UNESCO/DC_V3_01     ,N_0410161000,,                                                                                                                                    ,N_4122233110,/CITI/XML/UNESCO/DC_V3_01,ATOM,PAYM,ZPST2                         ,POBoxPc                                           ,FPAYH                         ,                              
/CITI/XML/UNESCO/DC_V3_01     ,N_0428349720,,                                                                                                                                    ,N_8165899330,/CITI/XML/UNESCO/DC_V3_01,ELEM,PAYM,                              ,AdjstmntAmtAndRsn                                 ,                              ,                              
/CITI/XML/UNESCO/DC_V3_01     ,N_0440681880,,                                                                                                                                    ,N_6519881200,/CITI/XML/UNESCO/DC_V3_01,ATOM,PAYM,UBRCH                         ,SAPID                                             ,FPAYHX                        ,                              
/CITI/XML/UNESCO/DC_V3_01     ,N_0458938630,,                                                                                                                                    ,N_8573175080,/CITI/XML/UNESCO/DC_V3_01,ELEM,PAYM,                              ,Rcrd                                              ,                              ,                              
/CITI/XML/UNESCO/DC_V3_01     ,N_0470322080,,                                                                                                                                    ,N_9956883140,/CITI/XML/UNESCO/DC_V3_01,ELEM,PAYM,                              ,SvcLvl                                            ,                              ,                              
/CITI/XML/UNESCO/DC_V3_01     ,N_0475584250,,                                                                                                                                    ,N_5209031690,/CITI/XML/UNESCO/DC_V3_01,ELEM,PAYM,                              ,Prtry                                             ,                              ,                              
