proj_id,project_name,risk_class,n_funds,total_postings,funds_with_avc,funds_earmarked,funds_full_10digit_match,fund_types,fund_list
00013287,JPO China 2024 Dakar  –  Culture and Her,A,1,117,1,1,1,103,821GLO4003
00013651,UNESCO Soil Initiative: Soil Sentinel Si,A,1,117,1,1,1,104,406GLO2052
00013276,JPO China 2024 -  Silk Roads Programme,A,1,116,1,1,1,103,821GLO3003
00013284,JPO China  2024 - SDG 4 coordination and,A,1,116,1,1,1,103,821GLO1004
00013126,WH Committee: participation of experts f,A,1,114,1,1,1,104,198MTG4142
00013895,Other functions of the Committee (43C/5),A,1,113,1,1,1,104,199OTH4143
00012564,Enhancing Rights-Based Disability Inclus,A,1,112,1,1,1,108,261CPR5001
00013578,Appui 3 psychosocial au profit de filles,A,1,112,1,1,1,105,523HAI1000
00013187,Special account for the support of the C,A,1,111,1,1,1,104,495GLO4242
00013654,Improving Access to Inclusive Quality Ed,A,1,111,1,1,1,105,534IRQ1003
00013930,43 C/5 Output 1.8 ED Education in emerge,A,1,111,1,1,1,104,495GLO1057
