fund,fund_type,fund_desc,wbs_objnr,wbs_posid,wbs_post1,link_tier,ps_pool_2026,fm_pool_2026_min,fm_blocking_bucket,state,deficit_severity_rank,postings_count_2024_26,wbs_fund_count
235BDI4000,108,,PR00059724,235BDI4000,Top WBS: Dialogue et accompagnement pour,HARD,798417.63,412708.63,YAO/REVENUE,ALIGNED,11519,1,1
235BIH4002,108,,PR00049674,235BIH4002,Top WBS: A more Equitable Society: Promo,HARD,1178392.3,492735.0,SAR/REVENUE,ALIGNED,11524,2,1
235BIH4002,108,,PR00049679,235BIH4002.1.4,1.4 Contractual services,HARD,707.79,289.67,SAR/11,ALIGNED,8657,11,1
235BIH4002,108,,PR00049687,235BIH4002.2.4,2.4 Contractual services,HARD,158550.58,113976.01,SAR/20,ALIGNED,11430,9,1
235BIH4002,108,,PR00049695,235BIH4002.3.4,3.4 Contractual services,HARD,160727.53,289.67,SAR/11,ALIGNED,8658,13,1
235BIH4002,108,,PR00049700,235BIH4002.4.1,4.1 Staff and other personnel,HARD,118931.97,94.93,SAR/13,ALIGNED,8174,207,1
235BIH4002,108,,PR00049704,235BIH4002.4.5,4.5 Travel,HARD,4697.18,305.99,SAR/10',ALIGNED,8721,22,1
235BIH4002,108,,PR00049706,235BIH4002.4.7,4.7 General Operating and other Costs,HARD,30103.97,113976.01,SAR/20,ALIGNED,11208,15,1
235BIH5000,108,,PR00055308,235BIH5000,Top WBS: Partnerships for equality:  No,HARD,1209371.0,780371.0,SAR/REVENUE,ALIGNED,11543,1,1
235BIH5000,108,,PR00055334,235BIH5000.4.1,1. Staff and other personnel,HARD,74845.83,-203.14,SAR/10',FM-EXHAUSTED,1724,12,1
235CHD3000,108,,PR00036124,235CHD3000,Les jeunes tisserands de la paix dans le,HARD,0.0,0.0,,BOTH-EXHAUSTED,2807,1,1
235CHD3000,108,,PR00036180,235CHD3000.6.7,7. Frais généraux de fonctionnement et a,HARD,0.0,0.0,,BOTH-EXHAUSTED,2808,1,1
