wbs_objnr,wbs_posid,wbs_post1,fund,fund_type,fund_count_on_wbs,fund_consumption_2024_26,total_consumption_2024_26,fund_share_pct,postings_count_2024_26
PR00000108,3,Major Programme 3 (Soc & Hum Sciences),2210671011,003,275,3135.1,14610978.92,0.02,4
PR00000110,5,Major Programme 5 (Com & Information),2210671011,003,249,4248.48,9479567.16,0.04,5
PR00027627,680REV9001,Management Cost PFF technical account,221CMB1000,108,1211,6409.3,48376526.57,0.01,4
PR00027627,680REV9001,Management Cost PFF technical account,221CMB1001,108,1211,18109.0,48376526.57,0.04,18
PR00027627,680REV9001,Management Cost PFF technical account,221GLO2001,108,1211,4077.94,48376526.57,0.01,12
PR00027627,680REV9001,Management Cost PFF technical account,221GLO2002,108,1211,3840.14,48376526.57,0.01,6
PR00027627,680REV9001,Management Cost PFF technical account,221GLO3000,108,1211,2419.21,48376526.57,0.01,7
PR00027627,680REV9001,Management Cost PFF technical account,221JOR4000,108,1211,10221.94,48376526.57,0.02,11
PR00027627,680REV9001,Management Cost PFF technical account,221KEN2000,108,1211,84275.75,48376526.57,0.17,25
PR00027627,680REV9001,Management Cost PFF technical account,221LEB4000,108,1211,77878.87,48376526.57,0.16,18
PR00027627,680REV9001,Management Cost PFF technical account,221LEB5000,105,1211,6357.59,48376526.57,0.01,11
PR00027627,680REV9001,Management Cost PFF technical account,221LIR1002,108,1211,290.68,48376526.57,0.0,2
PR00027627,680REV9001,Management Cost PFF technical account,221MOZ4000,108,1211,18059.74,48376526.57,0.04,15
PR00027627,680REV9001,Management Cost PFF technical account,221NEP4000,108,1211,362.24,48376526.57,0.0,7
PR00027627,680REV9001,Management Cost PFF technical account,221PER4003,108,1211,7407.45,48376526.57,0.02,5
PR00027627,680REV9001,Management Cost PFF technical account,221PHI5000,108,1211,2025.35,48376526.57,0.0,4
PR00027627,680REV9001,Management Cost PFF technical account,221PRC1001,108,1211,20987.62,48376526.57,0.04,19
PR00027627,680REV9001,Management Cost PFF technical account,221PRC4000,108,1211,20635.91,48376526.57,0.04,10
PR00027627,680REV9001,Management Cost PFF technical account,221RAS3002,108,1211,6436.1,48376526.57,0.01,8
PR00000107,2,Major Programme 2 (Natural Sciences),2230633031,009,591,165.29,25643916.0,0.0,4
PR00000107,2,Major Programme 2 (Natural Sciences),2230633041,009,591,2231.79,25643916.0,0.01,1
PR00000107,2,Major Programme 2 (Natural Sciences),2230633071,009,591,159.95,25643916.0,0.0,1
PR00000108,3,Major Programme 3 (Soc & Hum Sciences),2230633071,009,275,1016.2,14610978.92,0.01,1
