NODE_ID,PARENT_ID,TECH_NAME,NODE_TYPE,TREE_ID,VERSION,LEV,FIRSTCHILD_ID,LENGTH,MP_OFFSET,MP_SC_OFFSET,CV_RULE,TAB_KEYFLD,MP_SELECTION,DATA_TYPE,MP_SC_TAB,MP_SC_FLD,MP_EXIT_FUNC,MP_CONST,REF_NAME,MP_IF_TP,BROTHER_ID
N_5068303050,N_0179888070,Time,ATOM,/SEPA_CT_ICTP_ISO,000,000,,0008,011,000,T:HHMMSS,,2,C,SYST,TIMLO,,,,5,
N_5101565700,N_0875432660,Ustrd,ELEM,/SEPA_CT_ICTP_ISO,000,003,N_0472550550,0140,000,000,,1,6,C,DMEE_PAYD,TEXT,,,,3,
N_5298508320,N_3212123950,-,ATOM,/SEPA_CT_ICTP_ISO,000,000,,0001,004,000,CL,,1,C,,,,-,,,N_4907943150
N_5323647340,N_4880705930,PmtTrailer,TECH,/SEPA_CT_ICTP_ISO,000,002,,0000,000,000,,,5,C,,,DMEE_EXIT_SEPA_41,,,,
N_5566338990,N_9961450310,NbOfTxs,ELEM,/SEPA_CT_ICTP_ISO,000,001,,0008,000,000,CL   R0,,4,N,FPAYHX,RENUM,,,,1,N_9200592860
N_5577211370,N_0450028060,Amt,ELEM,/SEPA_CT_ICTP_ISO,000,000,N_1901988830,0015,000,000,AL.2,,2,P,FPAYH,RWBTR,,INF,,1,N_5750213250
N_5694995210,N_1489713350,ReqdExctnDt,ELEM,/SEPA_CT_ICTP_ISO,000,002,N_3212123950,0010,000,000,,,8,C,,,,,,,N_9481469990
N_5750213250,N_0450028060,Inf,ELEM,/SEPA_CT_ICTP_ISO,000,000,,0003,000,000,,,1,C,,,,,,,
N_5757152900,N_7192103500,InstrPrty,ELEM,/SEPA_CT_ICTP_ISO,000,000,,0000,000,000,,,1,C,,,,NORM,,,N_9099483080
N_5757373800,N_3904828830,ClrSysMmbId,ELEM,/SEPA_CT_ICTP_ISO,000,000,N_7013458070,0000,000,000,,,8,C,,,,,,1,
N_5958302950,N_1761132200,AUST1,ATOM,/SEPA_CT_ICTP_ISO,000,000,,0000,000,000,CL RP    X,,2,C,FPAYHX,AUST1,,,,1,N_9746682670
N_6010401760,N_1348246140,Para,ATOM,/SEPA_CT_ICTP_ISO,000,000,,0070,000,000,,,2,C,FPM_SEPA,XSI,,,,4,
